"SUBJID","COUNTRY_SELF"
29574,"Albania"
43459,"Albania"
28640,"Albania"
14395,"Albania"
16962,"Albania"
15493,"Albania"
5293,"Albania"
33947,"Albania"
3759,"Albania"
41834,"Austria"
19627,"Austria"
13198,"Austria"
22158,"Austria"
20388,"Austria"
10347,"Austria"
7952,"Austria"
40765,"Austria"
22841,"Austria"
566,"Austria"
10683,"Austria"
31757,"Austria"
49626,"Austria"
352,"Austria"
6000,"Belgium"
36095,"Belgium"
46989,"Belgium"
13350,"Belgium"
14979,"Belgium"
23363,"Belgium"
26881,"Belgium"
15763,"Belgium"
12734,"Belgium"
37068,"Belgium"
28824,"Belgium"
10072,"Belgium"
276,"Belgium"
29456,"Belgium"
43558,"Belgium"
9640,"Belgium"
46479,"Belgium"
33923,"Belgium"
20892,"Belgium"
18619,"Belgium"
7947,"Belgium"
26361,"Belgium"
39424,"Belgium"
8953,"Belgium"
13679,"Belgium"
13372,"Belgium"
49060,"Belgium"
22927,"Belgium"
1245,"Belgium"
36066,"Belgium"
16304,"Belgium"
48674,"Belgium"
9243,"Belgium"
36577,"Belgium"
35070,"Belgium"
12842,"Belgium"
14469,"Belgium"
44652,"Bosnia"
40792,"Bosnia"
1736,"Bosnia"
41992,"Bosnia"
34738,"Bosnia"
7362,"Bosnia"
8388,"Bosnia"
2307,"Bosnia"
37594,"Bosnia"
22176,"Bulgaria"
697,"Croatia"
35784,"Croatia"
2092,"Croatia"
38735,"Croatia"
18257,"Croatia"
17810,"Croatia"
12767,"Croatia"
18043,"Croatia"
40485,"Croatia"
45903,"Cyprus"
38910,"Cyprus"
38759,"Cyprus"
5332,"Czech Republic"
11479,"Czech Republic"
36410,"Czech Republic"
15189,"Czech Republic"
1135,"Czech Republic"
14754,"Czech Republic"
15345,"Czech Republic"
43590,"Czech Republic"
47990,"Czech Republic"
35658,"Denmark"
14783,"England"
36282,"England"
13220,"England"
25417,"England"
1934,"England"
34596,"England"
45165,"England"
13634,"England"
26199,"England"
16993,"England"
32709,"England"
15519,"England"
37798,"England"
39053,"England"
5860,"England"
13501,"England"
34977,"England"
40853,"England"
40940,"England"
44578,"England"
7917,"England"
27699,"England"
24952,"Finland"
41543,"France"
46235,"France"
7501,"France"
39243,"France"
20049,"France"
33280,"France"
42129,"France"
32524,"France"
38734,"France"
40153,"France"
6928,"France"
49771,"France"
8869,"France"
29092,"France"
44510,"France"
34459,"France"
6851,"France"
46577,"France"
23141,"France"
29232,"France"
37236,"France"
22871,"France"
13114,"France"
30300,"France"
14162,"France"
46491,"France"
35630,"France"
32710,"France"
39921,"France"
20239,"France"
2511,"France"
38807,"France"
4822,"France"
48739,"France"
15843,"France"
19161,"France"
2518,"France"
36053,"France"
41568,"France"
42033,"France"
47139,"France"
44583,"France"
37202,"France"
31699,"France"
655,"France"
44554,"France"
8582,"France"
33362,"France"
48433,"France"
37001,"France"
21308,"France"
33033,"France"
34725,"France"
33995,"France"
8500,"France"
7363,"France"
16086,"France"
30830,"France"
1026,"France"
38391,"France"
4080,"France"
36388,"France"
45978,"France"
29852,"France"
16837,"France"
39270,"France"
6870,"France"
45258,"France"
44990,"France"
18176,"France"
42118,"France"
28110,"France"
44548,"France"
41145,"France"
4931,"France"
12285,"France"
47952,"France"
16614,"France"
39622,"France"
14659,"France"
21282,"France"
23018,"France"
11890,"France"
39605,"France"
48146,"France"
10741,"France"
14721,"Germany"
6475,"Germany"
41038,"Germany"
40502,"Germany"
26058,"Germany"
22493,"Germany"
3289,"Germany"
9716,"Germany"
964,"Germany"
31582,"Germany"
5443,"Germany"
37995,"Germany"
6329,"Germany"
33006,"Germany"
44753,"Germany"
24554,"Germany"
16989,"Germany"
463,"Germany"
10517,"Germany"
36806,"Germany"
32925,"Germany"
38799,"Germany"
198,"Germany"
22709,"Germany"
44500,"Germany"
49138,"Germany"
12928,"Germany"
16331,"Germany"
48009,"Germany"
46866,"Germany"
24947,"Germany"
17271,"Germany"
44434,"Germany"
13949,"Germany"
22400,"Germany"
32481,"Germany"
4243,"Germany"
19758,"Germany"
14931,"Germany"
7938,"Germany"
16131,"Germany"
15489,"Germany"
3946,"Germany"
29860,"Germany"
33403,"Germany"
39848,"Germany"
45410,"Germany"
23877,"Germany"
3260,"Germany"
37616,"Germany"
23881,"Germany"
46206,"Germany"
18845,"Germany"
27587,"Germany"
5807,"Germany"
30215,"Germany"
44917,"Germany"
43076,"Germany"
35207,"Germany"
22335,"Germany"
38829,"Germany"
30548,"Germany"
45086,"Germany"
30903,"Germany"
2100,"Germany"
9215,"Germany"
27756,"Germany"
25238,"Germany"
23687,"Germany"
25962,"Germany"
46345,"Germany"
22283,"Greece"
14403,"Greece"
38145,"Greece"
26242,"Greece"
34194,"Greece"
31326,"Hungary"
47087,"Hungary"
29931,"Hungary"
48042,"Hungary"
27436,"Hungary"
36815,"Hungary"
3222,"Hungary"
48975,"Hungary"
45480,"Hungary"
20127,"Hungary"
45623,"Hungary"
6603,"Hungary"
4227,"Hungary"
18761,"Hungary"
25800,"Hungary"
38626,"Hungary"
13418,"Hungary"
3507,"Hungary"
21977,"Hungary"
41622,"Ireland"
2835,"Ireland"
732,"Ireland"
29737,"Ireland"
5411,"Ireland"
48070,"Ireland"
18866,"Ireland"
2892,"Ireland"
26178,"Ireland"
33570,"Ireland"
19970,"Ireland"
688,"Ireland"
9100,"Ireland"
7066,"Ireland"
6821,"Ireland"
9122,"Ireland"
4467,"Ireland"
31254,"Ireland"
32457,"Ireland"
36060,"Ireland"
37617,"Ireland"
9972,"Ireland"
47425,"Ireland"
8345,"Ireland"
34820,"Ireland"
2531,"Ireland"
18898,"Ireland"
8270,"Ireland"
22034,"Ireland"
34539,"Ireland"
49319,"Ireland"
37391,"Ireland"
10695,"Ireland"
7176,"Ireland"
1095,"Ireland"
8642,"Ireland"
32163,"Ireland"
15717,"Ireland"
29538,"Ireland"
5622,"Ireland"
10833,"Ireland"
23685,"Ireland"
21473,"Ireland"
14948,"Ireland"
28967,"Ireland"
7081,"Ireland"
333,"Ireland"
45118,"Ireland"
24589,"Ireland"
37531,"Ireland"
31817,"Ireland"
17269,"Ireland"
18026,"Ireland"
38953,"Ireland"
7329,"Ireland"
28164,"Ireland"
5631,"Ireland"
26634,"Ireland"
18218,"Ireland"
1360,"Ireland"
34408,"Italy"
11665,"Italy"
43036,"Italy"
6121,"Italy"
21970,"Italy"
26882,"Italy"
14496,"Italy"
6472,"Italy"
40200,"Italy"
33486,"Italy"
31822,"Italy"
5624,"Italy"
19887,"Italy"
8116,"Italy"
16144,"Italy"
38879,"Italy"
11830,"Italy"
20007,"Italy"
25451,"Italy"
18696,"Italy"
47388,"Italy"
6744,"Italy"
49789,"Italy"
20032,"Italy"
18805,"Italy"
3187,"Italy"
40001,"Italy"
16709,"Italy"
7464,"Italy"
28598,"Italy"
16338,"Italy"
29339,"Italy"
22241,"Italy"
4876,"Italy"
1678,"Italy"
4578,"Italy"
9250,"Italy"
24239,"Italy"
23703,"Italy"
49484,"Italy"
47249,"Italy"
34791,"Italy"
5775,"Italy"
17636,"Italy"
19883,"Italy"
40629,"Italy"
29810,"Italy"
2363,"Italy"
2171,"Italy"
45497,"Italy"
15319,"Italy"
32007,"Italy"
28126,"Italy"
10600,"Italy"
28050,"Italy"
35792,"Italy"
10178,"Italy"
10357,"Italy"
30099,"Italy"
3302,"Italy"
47846,"Italy"
38046,"Italy"
15371,"Italy"
25312,"Italy"
33407,"Italy"
7676,"Italy"
7846,"Italy"
19595,"Italy"
30153,"Italy"
31568,"Italy"
16716,"Italy"
20550,"Italy"
38247,"Italy"
42759,"Italy"
36790,"Italy"
41079,"Italy"
11910,"Italy"
34920,"Italy"
42800,"Italy"
1791,"Italy"
41888,"Italy"
12164,"Italy"
24019,"Italy"
39758,"Italy"
8830,"Italy"
41916,"Italy"
35635,"Italy"
20630,"Italy"
18798,"Italy"
8877,"Italy"
37171,"Italy"
1686,"Italy"
49661,"Italy"
30508,"Italy"
22815,"Italy"
48794,"Italy"
10560,"Italy"
35014,"Italy"
34687,"Italy"
32856,"Italy"
16165,"Italy"
25791,"Italy"
20871,"Italy"
15005,"Italy"
7964,"Italy"
6589,"Italy"
40448,"Italy"
26376,"Italy"
47312,"Italy"
34428,"Italy"
13356,"Italy"
1144,"Italy"
48276,"Italy"
18194,"Italy"
19446,"Italy"
18987,"Italy"
12028,"Italy"
6075,"Italy"
36654,"Italy"
18603,"Italy"
48578,"Italy"
45509,"Italy"
16335,"Italy"
19532,"Italy"
18295,"Italy"
27044,"Italy"
22223,"Italy"
42287,"Italy"
554,"Italy"
29638,"Italy"
40372,"Italy"
24371,"Italy"
30045,"Italy"
29022,"Italy"
46151,"Italy"
1264,"Italy"
10864,"Italy"
37095,"Italy"
15006,"Italy"
14098,"Italy"
12428,"Italy"
19959,"Italy"
42842,"Italy"
38680,"Italy"
49428,"Italy"
8430,"Italy"
13702,"Italy"
17676,"Italy"
3988,"Italy"
47928,"Italy"
23220,"Italy"
11733,"Italy"
29219,"Italy"
47712,"Italy"
1025,"Italy"
30884,"Italy"
32395,"Italy"
15089,"Italy"
15295,"Italy"
9089,"Italy"
2850,"Italy"
7725,"Italy"
44569,"Italy"
43491,"Italy"
11297,"Italy"
38148,"Italy"
16615,"Italy"
13835,"Italy"
23936,"Italy"
7244,"Italy"
49646,"Italy"
47086,"Italy"
25786,"Italy"
36301,"Italy"
49050,"Italy"
22011,"Italy"
37455,"Italy"
33901,"Italy"
25278,"Italy"
41271,"Italy"
5148,"Italy"
36884,"Italy"
5113,"Italy"
42625,"Italy"
28494,"Italy"
23256,"Italy"
23663,"Italy"
43643,"Italy"
6330,"Italy"
21533,"Italy"
37691,"Italy"
1080,"Italy"
37619,"Italy"
13904,"Italy"
19372,"Italy"
44224,"Italy"
17886,"Italy"
44244,"Italy"
15779,"Italy"
41802,"Italy"
9706,"Italy"
623,"Italy"
15065,"Italy"
2367,"Italy"
38669,"Italy"
43712,"Italy"
13984,"Italy"
33237,"Italy"
29324,"Italy"
29246,"Italy"
42164,"Italy"
7889,"Italy"
22492,"Italy"
36156,"Kosovo"
29244,"Kosovo"
35911,"Kosovo"
4591,"Kosovo"
3423,"Kosovo"
41211,"Kosovo"
12598,"Kosovo"
7993,"Kosovo"
7615,"Kosovo"
6220,"Kosovo"
17761,"Kosovo"
15054,"Kosovo"
38422,"Kosovo"
13595,"Kosovo"
43068,"Kosovo"
28527,"Latvia"
47449,"Macedonia"
37392,"Macedonia"
5144,"Macedonia"
45591,"Macedonia"
6610,"Montenegro"
11768,"Netherlands"
45816,"Netherlands"
35903,"Netherlands"
5292,"Netherlands"
27095,"Netherlands"
37302,"Netherlands"
22173,"Netherlands"
22826,"Netherlands"
43479,"Netherlands"
44717,"Netherlands"
22882,"Netherlands"
18599,"Netherlands"
46270,"Netherlands"
24226,"Netherlands"
39575,"Netherlands"
37108,"Netherlands"
16821,"Netherlands"
25490,"Norway"
45124,"Norway"
11063,"Poland"
1533,"Poland"
4562,"Poland"
11594,"Poland"
14504,"Poland"
49350,"Poland"
